,Date,ActorID,Actor,Role(s),Film,Link,Born,Died,Birthplace,Deathplace,Children
30,1958-03-26,27,Alec Guinness,Colonel Nicholson,The Bridge on the River Kwai,/wiki/Alec_Guinness,1914-04-02,2000-08-05,"Maida Vale, London, England","Midhurst, West Sussex, England",1
31,1959-04-06,28,David Niven,Major Angus Pollock,Separate Tables,/wiki/David_Niven,1910-03-01,1983-07-29,"Victoria, London, England","Château-d'Œx, Switzerland",4
32,1960-04-04,29,Charlton Heston,Judah Ben-Hur,Ben-Hur,/wiki/Charlton_Heston,1923-10-04,2008-04-05,"Wilmette, Illinois, U.S.","Beverly Hills, California, U.S.",2
33,1961-04-17,30,Burt Lancaster,Elmer Gantry,Elmer Gantry,/wiki/Burt_Lancaster,1913-11-02,1994-10-20,"New York City, U.S.","Los Angeles, U.S.",5
34,1962-04-09,31,Maximilian Schell,Hans Rolfe,Judgment at Nuremberg,/wiki/Maximilian_Schell,1930-12-08,2014-02-01,"Vienna, Austria","Innsbruck, Austria",1
35,1963-04-08,32,Gregory Peck,Atticus Finch,To Kill a Mockingbird,/wiki/Gregory_Peck,1916-04-05,2003-06-12,"San Diego, California, U.S.","Los Angeles, California, U.S.",5
36,1964-04-13,33,Sidney Poitier,Homer Smith,Lilies of the Field,/wiki/Sidney_Poitier,1927-02-20,2022-01-06,"Miami, Florida, U.S.","Beverly Hills, California, U.S.",6
37,1965-04-05,34,Rex Harrison,Professor Henry Higgins,My Fair Lady,/wiki/Rex_Harrison,1908-03-05,1990-06-02,"Huyton, Lancashire, England","New York City, U.S.",2
38,1966-04-18,35,Lee Marvin,Kid Shelleen & Tim Strawn,Cat Ballou,/wiki/Lee_Marvin,1924-02-19,1987-08-29,"New York City, U.S.","Tucson, Arizona, U.S.",4
39,1967-04-10,36,Paul Scofield,Sir Thomas More,A Man for All Seasons,/wiki/Paul_Scofield,1922-01-21,2008-03-19,"Birmingham, Warwickshire, England","Brighton, East Sussex, England",2
40,1968-04-10,37,Rod Steiger,Bill Gillespie,In the Heat of the Night,/wiki/Rod_Steiger,1925-04-14,2002-07-09,"Westhampton, New York, U.S.","Los Angeles, California, U.S.",0
41,1969-04-14,38,Cliff Robertson,Charly Gordon,Charly,/wiki/Cliff_Robertson,1923-09-09,2011-09-10,"San Diego, California, U.S.","Stony Brook, New York, U.S.",2
42,1970-04-07,39,John Wayne,"Reuben ""Rooster"" Cogburn",True Grit,/wiki/John_Wayne,1907-05-26,1979-06-11,"Winterset, Iowa, U.S.","Los Angeles, California, U.S.",7
43,1971-04-15,40,George C. Scott,General George S. Patton Jr.,Patton,/wiki/George_C._Scott,1927-10-18,1999-09-22,"Wise, Virginia, U.S.","Westlake Village, California, U.S.",7
44,1972-04-10,41,Gene Hackman,"Jimmy ""Popeye"" Doyle",The French Connection,/wiki/Gene_Hackman,1930-01-30,,"San Bernardino, California, U.S.",,3
45,1973-03-27,24,Marlon Brando,Vito Corleone,The Godfather,/wiki/Marlon_Brando,1924-04-03,2004-07-01,"Omaha, Nebraska, U.S.","Los Angeles, California",11
46,1974-04-02,42,Jack Lemmon,Harry Stoner,Save the Tiger,/wiki/Jack_Lemmon,1925-02-08,2001-06-27,"Newton, Massachusetts, U.S.","Los Angeles, California, U.S.",2
47,1975-04-08,43,Art Carney,Harry Coombes,Harry and Tonto,/wiki/Art_Carney,1918-11-04,2003-11-09,"Mount Vernon, New York, U.S.","Chester, Connecticut, U.S.",3
48,1976-03-29,44,Jack Nicholson,Randle Patrick McMurphy,One Flew Over the Cuckoo's Nest,/wiki/Jack_Nicholson,1937-04-22,,"Neptune City, New Jersey, U.S.",,6
49,1977-03-28,45,Peter Finch,Howard Beale,Network,/wiki/Peter_Finch,1916-09-28,1977-01-14,"South Kensington, London, England","Beverly Hills, California, U.S.",4
